4, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-13
5, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-13
6, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-13
7, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-13
1, NULL, NULL, NULL, NULL, NULL, NULL, Пятниця, ФеП-13
2, Дискр. математ. (лекц),доц. Вельгош С.Р.,129, NULL, NULL, NULL, Пятниця, ФеП-13
3, Вища математика (лекц),доц. Стахiв Л.Л.,128, NULL, NULL, NULL, Пятниця, ФеП-13
1, Веб-технологiї (лаб),доц. Ляшкевич В, NULL, NULL, NULL, NULL, Понедiлок, ФеП-14
2, Операц. системи (лекц),доц. Бойко Я.В.,4, NULL, NULL, NULL, Понедiлок, ФеП-14
3, Об.-орiєнт.прогр. (лекц),доц. Кушнiр. О.О.,130, NULL, NULL, NULL, Понедiлок, ФеП-14
4, Веб-технологiї (лекц),доц. Ляшкевич В, NULL, NULL, NULL, NULL, Понедiлок, ФеП-14
5, Веб-технологiї (лаб),доц. Ляшкевич В, NULL, NULL, NULL, NULL, Понедiлок, ФеП-14
6, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеП-14
1, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-14
2, Вища математика (пр),ст. вик. Саницька А.О.,5, NULL, NULL, NULL, Вiвторок, ФеП-14
3, Об.-орiєнт.прогр. (лаб),ас. Бавдис М.I.,6,Дискр. математ. (лаб),доц. Середницька Х.I.,12,Вiвторок, ФеП-14
4, Iноземна мова (пр),доц. Бiлинська Х.В.,129а, NULL, NULL, NULL, Вiвторок, ФеП-14
5, Фiзвиховання (лекц), NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-14
6, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-14
7, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-14
1, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-14
2, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-14
3, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-14
4, Iноземна мова (пр),доц. Бiлинська Х.В.,129а, NULL, NULL, NULL, Середа, ФеП-14
5, Дискр. математ. (лаб),доц. Середницька Х.I.,1,Операц. системи (лаб),доц. Бойко Я.В.,8,Середа, ФеП-14
6, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-14
7, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-14
1, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-14
2, Операц. системи (лаб),доц. Бойко Я.В.,8,Об.-орiєнт.прогр. (лаб),ас. Шевчук В.Д.,6,Четвер, ФеП-14
3, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-14
4, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-14
5, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-14
6, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-14
7, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-14
1, NULL, NULL, NULL, NULL, NULL, NULL, Пятниця, ФеП-14
2, Дискр. математ. (лекц),доц. Вельгош С.Р.,129, NULL, NULL, NULL, Пятниця, ФеП-14
3, Вища математика (лекц),доц. Стахiв Л.Л.,128, NULL, NULL, NULL, Пятниця, ФеП-14
1, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеM-11
2, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеM-11
3, Вища математика (лекц),доц. Цаповська Ж.Я.,3, NULL, NULL, NULL, Понедiлок, ФеM-11
4, Загальна фiзика (лекц),проф. Стасюк З.В.,2, NULL, NULL, NULL, Понедiлок, ФеM-11
5, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеM-11
6, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеM-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеM-11
2, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеM-11
3, Iноземна мова (пр),доц. Шандра Н.А.,407, NULL, NULL, NULL, Вiвторок, ФеM-11
4, Вища математика (пр),ас. Казанiвський М.I.,405, NULL, NULL, NULL, Вiвторок, ФеM-11
5, Фiзвиховання (лекц),- -.. Сп-кс, NULL, NULL, NULL, Вiвторок, ФеM-11
6, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеM-11
7, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеM-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеM-11
